id,tier,priority,tag_name,tag_value,description,business_impact,action_required,dispute_trigger,billing_impact,color_code,category,created_at
30,4,Lower,Appliance Type - Disposal,GARBAGE_DISPOSAL_REPAIR,"Garbage disposal repair needed. Common issues: jammed, leaking, grinding.",Medium conversion rate.,Standard routing,NONE,Variable,green,appliance,2026-02-17 00:00:00
31,4,Medium,Appliance Type - Multiple,MULTIPLE_APPLIANCES,Customer mentions 2+ appliances needing service.,Variable. Could be higher ticket value.,Track for upsell opportunities,NONE,Variable,yellow,appliance,2026-02-17 00:00:00
32,4,High,Appliance Type - Unknown,UNKNOWN_APPLIANCE,Cannot determine appliance type from transcript.,Quality concern. Transcript may be unclear.,Manual review recommended,NONE,Variable,orange,appliance,2026-02-17 00:00:00
33,4,Highest,Appliance Type - Unserviced (TV),UNSERVICED_APPLIANCE_TV,Buyer does not service this appliance type (TV).,$0 revenue. Wrong vertical.,"Review routing, consider exclusion",STRONG,DEFINITELY_NOT,red,appliance_critical,2026-02-17 00:00:00
34,4,Highest,Appliance Type - Unserviced (HVAC),UNSERVICED_APPLIANCE_HVAC,Buyer does not service this appliance type (HVAC).,$0 revenue. Wrong vertical.,"Review routing, consider exclusion",STRONG,DEFINITELY_NOT,red,appliance_critical,2026-02-17 00:00:00
35,4,Highest,Appliance Type - Unserviced (Other),UNSERVICED_APPLIANCE_OTHER,Buyer does not service this appliance type (other).,$0 revenue. Wrong vertical.,"Review routing, consider exclusion",STRONG,DEFINITELY_NOT,red,appliance_critical,2026-02-17 00:00:00
36,5,Lower,Billing - Likely Billable,LIKELY_BILLABLE,Duration >60s meaningful conversation OR appointment scheduled OR detailed qualification.,$9-$58 revenue expected. Approve billing.,None - standard billing,NONE,$9-$58,green,billing_positive,2026-02-17 00:00:00
37,5,High,Billing - Questionable,QUESTIONABLE_BILLING,Duration 40-60s with unclear outcome. Partial qualification. Review if disputed.,$0-$27 revenue possible. May be disputed.,Review if buyer disputes,REVIEW,$0-$27,orange,billing_review,2026-02-17 00:00:00
38,5,Highest,Billing - Not Billable,DEFINITELY_NOT_BILLABLE,Duration <40s OR major quality flag OR NO_BUYER_INTEREST. Should not be billed.,$0 revenue. Dispute if currently billed.,Dispute immediately if billed=true,STRONG,$0,red,billing_critical,2026-02-17 00:00:00
39,6,Lower,Demographics - Elderly,ELDERLY_CUSTOMER,"Customer age 65+, needs assistance, mentions mobility issues.",High lifetime value. May need accessible service.,Track buyer performance with elderly customers,NONE,Variable,green,demographics,2026-02-17 00:00:00
40,6,Lower,Demographics - Landlord,RENTAL_PROPERTY_OWNER,Landlord/property manager with rental or investment property.,Very high lifetime value. Repeat business potential.,Priority lead - flag for retention,NONE,Variable,green,demographics,2026-02-17 00:00:00
41,6,Lower,Demographics - First Time,FIRST_TIME_HOMEOWNER,Inexperienced with repairs. Lots of basic questions. Needs guidance.,Standard value. May need more hand-holding.,Standard routing,NONE,Variable,green,demographics,2026-02-17 00:00:00
42,6,Medium,Demographics - Multilingual,MULTILINGUAL_CUSTOMER,"Language barriers evident. ESL, heavy accent, communication challenges.",Standard value. May need bilingual buyer.,Route to appropriate buyers if available,NONE,Variable,yellow,demographics,2026-02-17 00:00:00
43,6,Lower,Demographics - Commercial,COMMERCIAL_PROPERTY,"Business location - restaurant, hotel, laundromat. Multiple units.",High ticket value. Specialized needs.,Route to commercial-capable buyers,NONE,Variable,green,demographics,2026-02-17 00:00:00
44,7,Lower,Buyer Performance - Excellent,EXCELLENT_BUYER_SERVICE,"Professional, helpful, asked qualifying questions, attempted to close effectively.",Positive correlation with conversion. Route more calls.,Increase call allocation to this buyer,NONE,Variable,green,performance_positive,2026-02-17 00:00:00
45,7,High,Buyer Performance - Poor,POOR_BUYER_SERVICE,"Rude, dismissive, unprofessional, didn't attempt to help.",Negative correlation with conversion. Lost opportunities.,"Review with buyer, consider reducing allocation",REVIEW,Variable,orange,performance_negative,2026-02-17 00:00:00
46,7,High,Buyer Performance - Missed Opp,BUYER_MISSED_OPPORTUNITY,Customer ready to book but buyer didn't ask. Gave up easily on objections.,Lost potential revenue. Training opportunity.,"Flag for buyer training, review performance",NONE,Variable,orange,performance_negative,2026-02-17 00:00:00
47,8,Lower,Traffic Quality - High Intent,HIGH_INTENT_TRAFFIC,Clear ready-to-buy signals. Urgent need. Decision-maker on call.,Best traffic source. Highest conversion rate.,Optimize for more of this traffic,NONE,LIKELY_BILLABLE,green,traffic_positive,2026-02-17 00:00:00
48,8,Medium,Traffic Quality - Brand Confusion,BRAND_CONFUSION_TRAFFIC,Thought they were calling manufacturer. Googled brand name.,EXPECTED in brand campaigns. Can still convert well.,Track for brand campaign ROI analysis,NONE,Variable,yellow,traffic_tracking,2026-02-17 00:00:00
49,8,Medium,Traffic Quality - Shopping Multiple,CONSUMER_SHOPPING_MULTIPLE,Consumer mentions calling other companies. Has appointment elsewhere.,NORMAL lead gen behavior - NOT a problem. Still billable if buyer engages.,Track as data point only,NONE,Variable,yellow,traffic_tracking,2026-02-17 00:00:00
50,9,Medium,Special Situation - DIY Failed,DIY_ATTEMPT_FAILED,"Customer tried fixing themselves, made it worse, watched YouTube videos.",May be more complex repair (higher ticket value). Customer already invested effort.,Track for service complexity patterns,NONE,Variable,yellow,situation,2026-02-17 00:00:00
51,9,Medium,Special Situation - Insurance,INSURANCE_CLAIM_RELATED,Insurance is involved. Needs documentation. Flood/fire/damage mentioned.,Different timeline and process. May need specialized handling.,Route to insurance-experienced buyers,NONE,Variable,yellow,situation,2026-02-17 00:00:00
52,9,High,Special Situation - Parts Only,PARTS_INQUIRY,"Looking to purchase parts only, not repair service. DIY intent.",Wrong type of lead for repair services. Low conversion.,Review traffic source targeting,NONE,Usually NOT,orange,situation_negative,2026-02-17 00:00:00
53,9,Medium,Special Situation - Replace Consider,CONSIDERING_NEW_PURCHASE,Weighing repair vs replacement. May not convert to repair.,50/50 conversion. Track for targeting optimization.,Analyze decision patterns,NONE,Variable,yellow,situation,2026-02-17 00:00:00
54,10,High,Buyer Ops - Availability,BUYER_AVAILABILITY_ISSUE,Staffing/hours problem. No agents available. Closed during business hours.,Lost opportunity. Buyer's fault - their schedule.,Flag to buyer. Do NOT adjust routing.,REVIEW,QUESTIONABLE or NOT,orange,ops_buyer,2026-02-17 00:00:00
55,10,High,Buyer Ops - Routing Failure,BUYER_ROUTING_FAILURE,"Technical issues. Call drops, transfers fail, IVR problems.",Lost opportunity. Buyer's fault - technical.,Flag to buyer about technical issues,REVIEW,Usually NOT,orange,ops_buyer,2026-02-17 00:00:00
